,L2_strength,Train_Loss,Train_Reg_Loss,Test_Loss,Test_Accuracy,r0-r1
395,3.95e-06,0.004288797,0.008847446,0.129186419,97.83,33.97187423706055
396,3.96e-06,0.006231891,0.010981772,0.136634408,97.65,34.6332893371582
397,3.97e-06,0.005947683,0.010672936,0.134131083,97.56,34.499855041503906
398,3.98e-06,0.008711717,0.013467878,0.124435843,97.58,34.56899642944336
399,3.99e-06,0.008957526,0.013552858,0.131479649,97.47,33.936885833740234
400,4e-06,0.005928412,0.010849995,0.14027729,97.28,35.076995849609375
401,4.01e-06,0.005223402,0.01023444,0.136426979,97.81,35.35018539428711
402,4.02e-06,0.00293362,0.007702304,0.131693169,97.73,34.441829681396484
403,4.03e-06,0.006286214,0.011047504,0.12876828,97.71,34.37239456176758
404,4.04e-06,0.006062774,0.011048347,0.148452321,97.27,35.12908935546875
405,4.05e-06,0.005536433,0.01045188,0.140206871,97.41,34.83806610107422
406,4.06e-06,0.003790374,0.008669502,0.126694428,97.76,34.66634750366211
407,4.07e-06,0.00419873,0.008738369,0.129742484,97.6,33.3974609375
408,4.08e-06,0.005701506,0.010357732,0.141986196,97.43,33.78212356567383
409,4.09e-06,0.002397119,0.007263094,0.129885894,97.51,34.49238967895508
410,4.1e-06,0.003402337,0.007931648,0.136208544,97.45,33.23717498779297
411,4.11e-06,0.004730613,0.009264361,0.145513596,97.38,33.212974548339844
412,4.12e-06,0.00528865,0.009783951,0.117241644,97.85,33.03168487548828
413,4.13e-06,0.005054926,0.009581588,0.146241486,97.39,33.10655975341797
414,4.14e-06,0.006185892,0.011101492,0.127989891,97.67,34.45784378051758
415,4.15e-06,0.005912377,0.010331717,0.125162425,97.73,32.6328239440918
416,4.16e-06,0.00440764,0.008960743,0.124502655,97.68,33.08316421508789
417,4.17e-06,0.006820977,0.011253902,0.124303524,97.68,32.604469299316406
418,4.18e-06,0.007570488,0.012151832,0.141166674,97.42,33.10612106323242
419,4.19e-06,0.004129243,0.008752836,0.130261965,97.53,33.218711853027344
420,4.2e-06,0.006023884,0.010399068,0.138622559,97.69,32.27553939819336
421,4.21e-06,0.007036715,0.011522953,0.137593758,97.69,32.64375305175781
422,4.22e-06,0.008253733,0.012666126,0.127972045,97.65,32.33559799194336
423,4.23e-06,0.00597701,0.010370061,0.13280103,97.52,32.22648239135742
424,4.24e-06,0.006210965,0.010658984,0.137102567,97.68,32.38921356201172
425,4.25e-06,0.005417864,0.009944499,0.143975797,97.45,32.63572311401367
426,4.26e-06,0.006769815,0.01112201,0.150668221,97.29,31.963134765625
427,4.27e-06,0.003719581,0.008132148,0.131251524,97.48,32.14635467529297
428,4.28e-06,0.006962032,0.011657345,0.141000995,97.46,33.12153244018555
429,4.29e-06,0.006109431,0.010812077,0.136535556,97.44,33.108726501464844
430,4.3e-06,0.006124416,0.010717578,0.136121954,97.69,32.6829833984375
431,4.31e-06,0.006127072,0.010627981,0.155346575,97.24,32.3155403137207
432,4.32e-06,0.005683575,0.010384903,0.153590696,97.25,32.98894119262695
433,4.33e-06,0.005897889,0.010685184,0.130318056,97.51,33.250728607177734
434,4.34e-06,0.00412362,0.008736799,0.129257154,97.64,32.60282897949219
435,4.35e-06,0.004580099,0.009302031,0.131539827,97.66,32.94695281982422
436,4.36e-06,0.006380467,0.011212671,0.13008727,97.63,33.291194915771484
437,4.37e-06,0.006826559,0.011724102,0.13141571,97.5,33.477142333984375
438,4.38e-06,0.003714758,0.00847121,0.140143943,97.49,32.95372009277344
439,4.39e-06,0.006538588,0.011108938,0.145504899,97.35,32.265804290771484
440,4.4e-06,0.006007303,0.010843434,0.130569694,97.71,33.15298843383789
441,4.41e-06,0.005717791,0.010742515,0.122194502,97.71,33.75489807128906
442,4.42e-06,0.006377755,0.011391941,0.120543856,97.77,33.68131637573242
443,4.43e-06,0.009391074,0.014639994,0.139638827,97.22,34.42176055908203
444,4.44e-06,0.003737018,0.008840558,0.134783067,97.47,33.903480529785156
445,4.45e-06,0.004057633,0.008771482,0.131951814,97.72,32.5467643737793
446,4.46e-06,0.007550611,0.012467968,0.126621613,97.65,33.20461654663086
447,4.47e-06,0.007302638,0.012309751,0.134530812,97.48,33.46878433227539
448,4.48e-06,0.003533772,0.008497965,0.132924741,97.52,33.287818908691406
449,4.49e-06,0.004468271,0.009563229,0.140470961,97.53,33.685821533203125
450,4.5e-06,0.004434044,0.00924812,0.133637137,97.7,32.70771789550781
451,4.51e-06,0.004170393,0.008854617,0.130446298,97.63,32.22779083251953
452,4.52e-06,0.006688816,0.011500664,0.148795668,97.22,32.62771987915039
453,4.53e-06,0.007145372,0.012307051,0.132493397,97.52,33.75564193725586
454,4.54e-06,0.00720965,0.012282659,0.126380449,97.75,33.42757797241211
455,4.55e-06,0.006615895,0.011581929,0.134469565,97.39,33.036888122558594
456,4.56e-06,0.005523637,0.0105819,0.134093388,97.5,33.3056755065918
457,4.57e-06,0.007546848,0.012306785,0.137627573,97.53,32.27323532104492
458,4.58e-06,0.00542022,0.010355788,0.122618806,97.54,32.82735061645508
459,4.59e-06,0.00751252,0.011986411,0.12567873,97.66,31.220247268676758
460,4.6e-06,0.007170707,0.011823705,0.141327685,97.54,31.804424285888672
461,4.61e-06,0.006795083,0.011610366,0.137179864,97.52,32.31918716430664
462,4.62e-06,0.007811126,0.012855474,0.145158718,97.43,33.04315948486328
463,4.63e-06,0.006638914,0.011627151,0.133377292,97.55,32.823360443115234
464,4.64e-06,0.005466977,0.010212043,0.132392703,97.59,31.97879981994629
465,4.65e-06,0.005619971,0.010204903,0.138890493,97.42,31.400747299194336
466,4.66e-06,0.004492946,0.00951257,0.149602769,97.27,32.82030487060547
467,4.67e-06,0.006193228,0.011350838,0.139156349,97.44,33.23271560668945
468,4.68e-06,0.004767385,0.009808678,0.149895869,97.28,32.820716857910156
469,4.69e-06,0.006399284,0.011394217,0.150513818,97.33,32.63460922241211
470,4.7e-06,0.006117358,0.011258301,0.143722885,97.44,33.072914123535156
