,L2_strength,Train_Loss,Train_Reg_Loss,Test_Loss,Test_Accuracy,Class_0_Accuracy,Class_1_Accuracy,Class_2_Accuracy,Class_3_Accuracy,Class_4_Accuracy,Class_5_Accuracy,Class_6_Accuracy,Class_7_Accuracy,Class_8_Accuracy,Class_9_Accuracy,r0
86,0.0172,0.676426584,2.080650715,0.667163867,85.2,95.612244898,96.035242291,76.550387597,79.702970297,75.152749491,76.793721973,92.379958246,82.879377432,86.755646817,88.503468781,9.05797290802002
87,0.0174,0.681025586,2.094953473,0.656515066,85.56,93.673469388,98.766519824,86.240310078,77.722772277,91.140529532,77.242152466,92.379958246,85.408560311,76.796714579,74.033696729,9.031846046447754
88,0.0176,0.682330359,2.117605847,0.662626816,83.22,96.428571429,98.678414097,84.108527132,80.198019802,95.417515275,70.179372197,90.292275574,90.564202335,71.868583162,51.53617443,8.999114036560059
89,0.0178,0.687130245,2.105512473,0.673985193,85.09,97.755102041,98.766519824,75.678294574,84.851485149,89.103869654,76.905829596,91.127348643,90.46692607,65.400410678,78.39444995,8.953065872192383
90,0.018,0.68978731,2.121283068,0.669323205,84.79,96.530612245,98.502202643,82.170542636,82.772277228,89.613034623,62.443946188,93.736951983,77.723735409,81.416837782,79.682854311,8.949867248535156
91,0.0182,0.696734496,2.143624915,0.679169544,84.76,97.653061224,98.061674009,80.910852713,79.504950495,75.356415479,78.587443946,93.528183716,87.645914397,73.203285421,80.971258672,8.908100128173828
92,0.0184,0.700653159,2.152199808,0.687315664,85.0,98.367346939,98.149779736,85.271317829,82.376237624,87.678207739,66.031390135,91.649269311,90.272373541,68.377823409,78.097125867,8.874466896057129
93,0.0186,0.70292455,2.145932168,0.685712994,85.15,95.102040816,98.854625551,84.980620155,80.792079208,93.177189409,79.147982063,91.858037578,88.13229572,64.476386037,72.646184341,8.859435081481934
94,0.0188,0.706883759,2.179926984,0.677241575,86.09,97.040816327,98.061674009,82.364341085,84.752475248,93.075356415,75.33632287,90.187891441,91.147859922,71.663244353,74.727452924,8.864354133605957
95,0.019,0.710429125,2.198426203,0.678801055,85.07,98.06122449,99.030837004,83.430232558,87.524752475,85.641547862,59.977578475,91.022964509,87.743190661,74.332648871,79.583746283,8.856368064880371
96,0.0192,0.716031258,2.196361922,0.692705863,85.24,96.326530612,98.854625551,81.007751938,76.831683168,90.427698574,79.708520179,91.858037578,79.571984436,72.895277207,83.151635282,8.783977508544922
97,0.0194,0.720636428,2.218356923,0.725851065,82.66,90.306122449,98.678414097,86.337209302,79.801980198,90.733197556,41.479820628,95.929018789,82.392996109,79.979466119,75.123885035,8.77645206451416
98,0.0196,0.722146186,2.200246708,0.705352355,85.2,96.530612245,97.885462555,76.162790698,79.00990099,86.965376782,78.811659193,93.736951983,86.673151751,80.390143737,74.331020813,8.726409912109375
99,0.0198,0.728228266,2.236339999,0.716635442,83.68,95.918367347,99.030837004,84.980620155,82.97029703,83.604887984,72.197309417,91.649269311,83.171206226,73.100616016,67.294350842,8.70668888092041
100,0.02,0.734087082,2.233412643,0.727499832,84.07,97.551020408,96.828193833,80.813953488,70.99009901,92.66802444,61.995515695,93.110647182,78.210116732,85.523613963,80.17839445,8.681068420410156
101,0.0202,0.737146259,2.229382885,0.755595439,83.26,97.653061224,96.387665198,68.604651163,74.158415842,92.66802444,69.730941704,91.33611691,81.031128405,78.131416838,80.971258672,8.629923820495605
102,0.0204,0.74053236,2.275027856,0.711008536,86.16,98.163265306,97.092511013,89.244186047,79.108910891,86.761710794,72.085201794,90.501043841,85.311284047,79.979466119,80.673934589,8.63503360748291
103,0.0206,0.744141533,2.279059521,0.739358107,83.77,93.87755102,98.678414097,73.352713178,66.534653465,90.529531568,76.905829596,92.797494781,78.404669261,82.854209446,82.35877106,8.686073303222656
104,0.0208,0.748542982,2.273268739,0.727430721,85.12,95.408163265,98.325991189,76.647286822,86.930693069,84.419551935,69.282511211,91.962421712,87.451361868,74.332648871,83.349851338,8.649248123168945
105,0.021,0.753846378,2.303951016,0.713974087,85.17,97.551020408,98.766519824,85.07751938,86.930693069,87.983706721,67.264573991,91.544885177,87.159533074,70.533880903,75.32210109,8.549337387084961
106,0.0212,0.758946865,2.314148794,0.732481317,84.29,95.918367347,98.678414097,75.678294574,72.871287129,89.00203666,71.860986547,93.110647182,82.295719844,78.542094456,82.656095144,8.516277313232422
107,0.0214,0.762335256,2.317121372,0.746225262,83.38,95.918367347,98.59030837,84.689922481,81.386138614,84.623217923,57.174887892,93.319415449,92.315175097,65.811088296,75.123885035,8.522323608398438
108,0.0216,0.766066531,2.322078641,0.750860915,83.05,97.244897959,98.325991189,82.65503876,85.940594059,82.688391039,36.771300448,88.413361169,91.050583658,82.546201232,78.097125867,8.502270698547363
109,0.0218,0.768912425,2.319368735,0.751417532,84.91,97.959183673,98.237885463,85.852713178,79.702970297,81.771894094,67.376681614,89.248434238,86.86770428,72.381930185,86.025768087,8.520636558532715
110,0.022,0.774998616,2.339064641,0.757302442,83.63,97.346938776,98.766519824,72.965116279,84.257425743,90.936863544,77.466367713,90.083507307,93.871595331,71.047227926,57.482656095,8.471908569335938
111,0.0222,0.780866965,2.331233077,0.7677607,85.14,96.93877551,96.563876652,87.209302326,79.00990099,85.845213849,69.058295964,92.066805846,81.322957198,82.854209446,77.898909812,8.399993896484375
112,0.0224,0.78293809,2.374905229,0.761994755,84.69,98.265306122,97.004405286,76.356589147,84.851485149,74.541751527,76.121076233,83.924843424,87.743190661,80.184804928,85.431119921,8.42557430267334
113,0.0226,0.790313869,2.376678618,0.798287991,80.04,97.959183673,98.061674009,80.23255814,90.891089109,88.085539715,57.174887892,86.11691023,94.552529183,65.503080082,37.165510406,8.34307861328125
114,0.0228,0.793717916,2.379105215,0.771795617,84.98,97.040816327,97.533039648,75.19379845,84.554455446,92.464358452,77.01793722,89.770354906,87.451361868,73.716632444,73.14172448,8.344694137573242
115,0.023,0.795991773,2.368781194,0.815024889,82.4,94.183673469,97.444933921,79.457364341,74.851485149,86.456211813,71.860986547,93.528183716,67.023346304,87.679671458,69.970267592,8.30891227722168
116,0.0232,0.803712863,2.391084079,0.80452506,83.14,95.102040816,98.766519824,66.279069767,88.118811881,78.615071283,69.955156951,93.841336117,78.793774319,82.95687885,76.709613479,8.299628257751465
117,0.0234,0.808268692,2.411975103,0.793767588,80.51,96.530612245,98.414096916,74.418604651,85.544554455,94.806517312,72.757847534,91.33611691,80.155642023,75.975359343,33.399405352,8.254730224609375
118,0.0236,0.811467145,2.412058389,0.788363559,83.68,97.040816327,98.766519824,78.875968992,86.633663366,69.857433809,73.206278027,86.11691023,85.408560311,74.332648871,83.349851338,8.239205360412598
119,0.0238,0.813837893,2.399771825,0.81705031,83.13,94.489795918,98.061674009,75.678294574,76.336633663,85.641547862,66.704035874,97.599164927,86.186770428,81.108829569,66.897918731,8.253495216369629
120,0.024,0.824414261,2.453588577,0.78029511,83.77,96.224489796,98.678414097,81.007751938,84.554455446,74.949083503,59.192825112,89.144050104,88.13229572,78.542094456,82.755203171,8.18863582611084
121,0.0242,0.829505013,2.427521638,0.81849487,83.09,93.367346939,97.709251101,75.387596899,87.722772277,61.710794297,71.076233184,86.534446764,86.381322957,80.800821355,86.917740337,8.174181938171387
